row_type,dataset,repeat,fold,auc,f1_macro
fold,wine2,1,1,1.0,1.0
fold,wine2,1,2,1.0,1.0
fold,wine2,1,3,1.0,1.0
fold,wine2,1,4,1.0,1.0
fold,wine2,1,5,1.0,1.0
fold,wine2,2,1,1.0,1.0
fold,wine2,2,2,1.0,1.0
fold,wine2,2,3,1.0,1.0
fold,wine2,2,4,1.0,0.93
fold,wine2,2,5,1.0,1.0
fold,wine2,3,1,1.0,0.9663865546218486
fold,wine2,3,2,1.0,1.0
fold,wine2,3,3,1.0,0.9663865546218486
fold,wine2,3,4,1.0,1.0
fold,wine2,3,5,1.0,1.0
fold,wine2,4,1,1.0,1.0
fold,wine2,4,2,1.0,0.9663865546218486
fold,wine2,4,3,1.0,1.0
fold,wine2,4,4,1.0,1.0
fold,wine2,4,5,1.0,1.0
fold,wine2,5,1,1.0,1.0
fold,wine2,5,2,1.0,1.0
fold,wine2,5,3,1.0,0.9345454545454546
fold,wine2,5,4,1.0,1.0
fold,wine2,5,5,1.0,1.0
fold,wine2,6,1,1.0,1.0
fold,wine2,6,2,1.0,1.0
fold,wine2,6,3,1.0,1.0
fold,wine2,6,4,1.0,0.9638802889576883
fold,wine2,6,5,1.0,1.0
fold,wine2,7,1,1.0,1.0
fold,wine2,7,2,1.0,1.0
fold,wine2,7,3,1.0,1.0
fold,wine2,7,4,1.0,1.0
fold,wine2,7,5,1.0,1.0
fold,wine2,8,1,1.0,1.0
fold,wine2,8,2,1.0,1.0
fold,wine2,8,3,1.0,1.0
fold,wine2,8,4,1.0,1.0
fold,wine2,8,5,1.0,1.0
fold,wine2,9,1,1.0,1.0
fold,wine2,9,2,1.0,1.0
fold,wine2,9,3,1.0,1.0
fold,wine2,9,4,1.0,1.0
fold,wine2,9,5,1.0,1.0
fold,wine2,10,1,1.0,1.0
fold,wine2,10,2,1.0,1.0
fold,wine2,10,3,1.0,1.0
fold,wine2,10,4,1.0,0.9638802889576883
fold,wine2,10,5,1.0,1.0
final_mean,wine2,,,1.0,0.9938293139265276
